City,State,Country,Venue,Existing Customer,Sensors,Sensor Types
"New York / New Jersey","NJ","US","MetLife Stadium","NYPD Counter-Terrorism",31,"AA Cloud / RF-560 / RF-360 / Camera / RF-160 / RF-310"
"New York / New Jersey","NJ","US","MetLife Stadium","Con Edison",17,"AA Cloud / EchoShield Radar / Camera / RF-360 / RF-160 / AeroScope"
"New York / New Jersey","NJ","US","MetLife Stadium","NJ Dept of Corrections",17,"RF-360 / RF-160 / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","MetLife Stadium",13,"RF-360 / RF-160 / AA Cloud / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","NE Command 02",13,"RF-360 / Camera / RF-560 / RF-160"
"New York / New Jersey","NJ","US","MetLife Stadium","YourMachine",11,"RF-360 / RF-160 / AA Cloud / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","Hudson Yards",11,"Camera / AA Cloud / RF-560"
"New York / New Jersey","NJ","US","MetLife Stadium","Con Edison (2)",11,"RF-310 / AeroScope / EchoShield Radar / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","NJ Transit PD - Trailer 2",9,"RF-310 / RF-560 / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","NYC OTI - Trailer 2",8,"EchoShield Radar / RF-560 / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","NY Yankees",8,"Camera / RF-360 / AeroScope / RF-160"
"New York / New Jersey","NJ","US","MetLife Stadium","NJ Transit PD - Trailer 1",8,"RF-560 / RF-310"
"New York / New Jersey","NJ","US","MetLife Stadium","NE Command 01",8,"RF-560 / RF-360 / Camera / RF-160"
"New York / New Jersey","NJ","US","MetLife Stadium","Nassau County",8,"AA Cloud / Link / RF-560 / RF-360"
"New York / New Jersey","NJ","US","MetLife Stadium","Flight 3100 POC",7,"RF-360 / RF-160 / RF-560"
"New York / New Jersey","NJ","US","MetLife Stadium","MTA",7,"RF-560 / AA Cloud"
"New York / New Jersey","NJ","US","MetLife Stadium","National Grid - Greenpoint",6,"RF-360 / RF-160 / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","Union County",6,"RF-360"
"New York / New Jersey","NJ","US","MetLife Stadium","Morris County",6,"RF-560 / Camera"
"New York / New Jersey","NJ","US","MetLife Stadium","Fairfield PD",6,"Camera / RF-560 / RF-310"
"New York / New Jersey","NJ","US","MetLife Stadium","Hudson County",4,"RF-360 / RF-160"
"New York / New Jersey","NJ","US","MetLife Stadium","NY State Bar Association",4,"RF-360 / RF-160"
"New York / New Jersey","NJ","US","MetLife Stadium","NYS DOCCS POC",4,"RF-560 / RF-360"
"New York / New Jersey","NJ","US","MetLife Stadium","Sentinel",2,"RF-160"
"New York / New Jersey","NJ","US","MetLife Stadium","JP Morgan Chase",2,"RF-560"
"New York / New Jersey","NJ","US","MetLife Stadium","BAPS NJ",2,"RF-560"
"New York / New Jersey","NJ","US","MetLife Stadium","HW Dev",1,"WiFi"
"Los Angeles","CA","US","SoFi Stadium","OC Probation",19,"RF-360 / RF-560 / RF-160 / Camera"
"Los Angeles","CA","US","SoFi Stadium","Ontario International Airport",18,"RF-360 / RF-160"
"Los Angeles","CA","US","SoFi Stadium","SoFi Stadium",16,"AA Cloud / RF-360 / RF-560 / RF-160 / Camera"
"Los Angeles","CA","US","SoFi Stadium","Southern California Edison",14,"RF-360 / Camera / RF-160"
"Los Angeles","CA","US","SoFi Stadium","Disney",8,"AA Cloud / RF-560"
"Los Angeles","CA","US","SoFi Stadium","Church of Scientology CA",8,"RF-360 / RF-160"
"Los Angeles","CA","US","SoFi Stadium","Cordell Drive",5,"RF-360 / Camera / RF-560"
"Los Angeles","CA","US","SoFi Stadium","CA cUAS Task Force",4,"AA Cloud"
"Los Angeles","CA","US","SoFi Stadium","LA Dodgers",3,"AA Cloud / Camera / WiFi"
"Los Angeles","CA","US","SoFi Stadium","Splash9",2,"RF-560"
"Dallas","TX","US","AT&T Stadium","B PD",10,"RF-310 / RF-560 / Camera"
"Dallas","TX","US","AT&T Stadium","Lewisville PD",7,"RF-560 / Camera / RF-310"
"Dallas","TX","US","AT&T Stadium","B PD Beyond",2,"ADS-B / Camera"
"Dallas","TX","US","AT&T Stadium","Lewisville PD Dfr",2,"ADS-B / Camera"
"San Francisco Bay Area","CA","US","Levis Stadium","Tesla - Fremont",24,"RF-360 / RF-160"
"San Francisco Bay Area","CA","US","Levis Stadium","SF 49ers (Levis Stadium)",23,"AA Cloud / RF-360 / RF-560 / RF-160 / Camera"
"San Francisco Bay Area","CA","US","Levis Stadium","Dalycity PD",16,"RF-560 / Camera / RF-310"
"San Francisco Bay Area","CA","US","Levis Stadium","Tesla - Kato",10,"RF-160 / RF-360 / RF-560"
"San Francisco Bay Area","CA","US","Levis Stadium","Tesla - Nobel",10,"RF-360 / RF-560 / RF-160"
"San Francisco Bay Area","CA","US","Levis Stadium","Meta",8,"RF-360 / RF-160"
"San Francisco Bay Area","CA","US","Levis Stadium","SMYSC",6,"RF-360 / RF-160"
"San Francisco Bay Area","CA","US","Levis Stadium","CA cUAS Task Force",5,"RF-560 / AA Cloud"
"San Francisco Bay Area","CA","US","Levis Stadium","Tesla - Palo Alto",4,"RF-360 / RF-160"
"San Francisco Bay Area","CA","US","Levis Stadium","Google Events",2,"RF-360"
"San Francisco Bay Area","CA","US","Levis Stadium","Demo Charlie",2,"RF-560"
"San Francisco Bay Area","CA","US","Levis Stadium","cUAS West",1,"Simulator"
"Miami","FL","US","Hard Rock Stadium","TSA HQ",10,"RF-360 / RF-160"
"Miami","FL","US","Hard Rock Stadium","Delraybeach PD",10,"RF-310 / RF-560 / Camera"
"Miami","FL","US","Hard Rock Stadium","Miami Dolphins (Hard Rock Stadium)",8,"RF-360 / RF-160 / AA Cloud / Camera"
"Miami","FL","US","Hard Rock Stadium","Sunnyisles PD",4,"RF-560"
"Miami","FL","US","Hard Rock Stadium","Demo Alpha",2,"RF-560"
"Atlanta","GA","US","Mercedes-Benz Stadium","Atlanta Braves",16,"RF-360 / RF-160 / Camera / RF-560 / AA Cloud"
"Atlanta","GA","US","Mercedes-Benz Stadium","Mercedes-Benz Stadium",14,"Camera / RF-360 / AA Cloud / RF-160"
"Atlanta","GA","US","Mercedes-Benz Stadium","CCSO",12,"AA Cloud / EchoShield Radar / Camera / RF-310 / AeroScope"
"Atlanta","GA","US","Mercedes-Benz Stadium","Emory University",10,"RF-360 / RF-160"
"Atlanta","GA","US","Mercedes-Benz Stadium","Atlanta 560",6,"RF-560"
"Atlanta","GA","US","Mercedes-Benz Stadium","GEO Group",5,"RF-360 / Camera / RF-560"
"Atlanta","GA","US","Mercedes-Benz Stadium","Sunrise FL",2,"RF-560"
"Atlanta","GA","US","Mercedes-Benz Stadium","SE Demo",1,"AA Cloud"
"Atlanta","GA","US","Mercedes-Benz Stadium","EPD IN",1,"RF-560"
"Atlanta","GA","US","Mercedes-Benz Stadium","Knox County SO",1,"RF-560"
Houston,TX,US,NRG Stadium,-,0,-
"Philadelphia","PA","US","Lincoln Financial Field","NJ State Police",12,"RF-560 / EchoShield Radar / RF-310 / Camera"
"Philadelphia","PA","US","Lincoln Financial Field","Wilmington PD",6,"RF-560 / RF-310"
"Philadelphia","PA","US","Lincoln Financial Field","Comcast",2,"RF-160"
"Philadelphia","PA","US","Lincoln Financial Field","NOSDD",2,"RF-560"
"Philadelphia","PA","US","Lincoln Financial Field","BAPS NJ",2,"RF-560"
"Seattle","WA","US","Lumen Field","Seattle Seahawks (Lumen Field)",13,"RF-360 / RF-160 / AA Cloud / Camera"
"Seattle","WA","US","Lumen Field","Amazon HQ",10,"RF-360 / RF-160"
"Seattle","WA","US","Lumen Field","Kemper Development",2,"RF-560"
"Seattle","WA","US","Lumen Field","City of Seattle",1,"Link"
"Kansas City","MO","US","Arrowhead Stadium","Arrowhead Stadium (QA)",17,"RF-560 / RF-160 / AA Cloud / Camera / RF-360"
"Kansas City","MO","US","Arrowhead Stadium","Arrowhead Stadium KC",17,"RF-160 / Camera / AA Cloud / RF-560 / RF-360"
"Kansas City","MO","US","Arrowhead Stadium","Overland Park KS",7,"RF-560 / Camera / RF-310"
"Kansas City","MO","US","Arrowhead Stadium","Training",5,"Radio / Prototype Radar"
"Boston","MA","US","Gillette Stadium","Gillette Stadium",13,"AA Cloud / Camera / RF-560 / RF-360 / RF-160"
"Boston","MA","US","Gillette Stadium","National Grid",4,"RF-360"
"Boston","MA","US","Gillette Stadium","Boston Red Sox",2,"RF-560"
Vancouver,BC,Canada,BC Place,-,0,-
"Toronto","ON","Canada","BMO Field","Greater Toronto Airports Authority",27,"RF-160 / Camera / RF-360 / AeroScope"
"Toronto","ON","Canada","BMO Field","CBP Buffalo",5,"AA Cloud / RF-560"
Mexico City,CDMX,Mexico,Estadio Azteca,-,0,-
Guadalajara,JAL,Mexico,Estadio Akron,-,0,-
Monterrey,NL,Mexico,Estadio BBVA,-,0,-
